intern_id,ElmID,Datum,Locatietype,SamengesteldeLegenda,VereenvoudigdeLegenda,ToevoegingLegenda,InterpretatieLegenda,AbiotiekLegenda,Oppervlakte,SbbType
1277,20024,"08/28/13 00:00:00","v","32-4+32-10","19","e1+q+r4+t",,,4.0614499999999998e-01,"32-e+32-e"
1279,20026,"08/28/13 00:00:00","v","29-1+32-4","27","e1",,,8.0993999999999997e-02,"29-c+32-e"
1282,20029,"08/28/13 00:00:00","v","29-1+29A1-1","27","e1",,,5.6481300000000001e-01,"29-c+29A1"
1285,20032,"08/28/13 00:00:00","v","32-4+08-5+08-1","19","e1+r4",,,2.0503600000000002e-01,"32-e+08-f+08-k"
1289,20036,"08/28/13 00:00:00","v","32-4+08-6","19","e1+r4+t",,,1.6765600000000000e-01,"32-e+08-a"
1292,20039,"08/28/13 00:00:00","v","05D-1+08-3","2","e1",,,1.0018700000000000e-01,"05D-a+08-d"
1293,20040,"08/28/13 00:00:00","v","08-6+32-4","7","e1",,,1.2342900000000000e-01,"08-a+32-e"
1295,20042,"08/28/13 00:00:00","v","32-4+16-13","19","e1+r4",,,2.2901300000000002e-01,"32-e+16/c"
1296,20043,"08/28/13 00:00:00","v","50C-1+29A1-1","27","e1",,,7.8225000000000000e-01,"50C+29A1"
1297,20044,"08/28/13 00:00:00","v","08-5+08-6","7","e1+q",,,1.6946600000000001e-01,"08-f+08-a"
1298,20045,"08/28/13 00:00:00","v","08-3+08-6+32-4","7","e1+r2",,,7.3097000000000001e-01,"08-d+08-a+32-e"
1300,20047,"08/28/13 00:00:00","v","08-6+32-4","7","e1+r2",,,5.3265499999999999e-01,"08-a+32-e"
1302,20049,"08/28/13 00:00:00","v","08B3-8+32-4","7","e1+q+v1",,,1.3224640000000001e+00,"08B3d+32-e"
1303,20050,"08/28/13 00:00:00","v","08B3-8+09A2-8","7","e1+q+v1",,,3.8913199999999998e-01,"08B3d+09A2b"
1304,20051,"08/28/13 00:00:00","v","32-9+32-4+09-13","19","e1+q+r2",,,1.8505500000000000e-01,"32-c+32-e+09-g"
1307,20054,"08/28/13 00:00:00","v","32-4+32-9","19","e1+q+r4",,,3.8201400000000002e-01,"32-e+32-c"
1308,20055,"08/28/13 00:00:00","v","32-4+32-10","19","e1+q+r4",,,2.0321400000000001e-01,"32-e+32-e"
1312,20059,"08/28/13 00:00:00","v","32-10+08-3","19","e1+q+t",,,2.3207700000000001e-01,"32-e+08-d"
1313,20060,"08/28/13 00:00:00","v","16-13+32-9","14","e1+q+t",,,2.1301399999999998e-01,"16/c+32-c"
1314,20061,"08/28/13 00:00:00","v","16-13+32-4","14","e1+q+t",,,1.3637830000000000e+00,"16/c+32-e"
1316,20502,"10/02/13 00:00:00","v","08B3-3+08C-6+09-11","5","e6+o2+q+t+v2",,,4.9506099999999997e-01,"08B3c+08C-c+09-g"
1318,20504,"10/02/13 00:00:00","v","09A2-2+09-9","10","e1+h2+q+v4",,,4.3635699999999999e-01,"09A2b+09/c"
1321,20507,"10/02/13 00:00:00","v","01-1+05D5-1+05-2","2","e1",,,3.0993000000000000e-02,"01-b+05D5a+05-a"
1322,20508,"10/02/13 00:00:00","v","09A2-2+09-9","10","e1+h2+o3+v4",,,3.9517200000000002e-01,"09A2b+09/c"
1325,20511,"10/02/13 00:00:00","v","09A2-2+09A2-5","10","e1+v4",,,9.9375100000000005e-01,"09A2b+09A2b"
1329,20515,"10/02/13 00:00:00","v","08B3-3+05D5-1+08C1-3","5","e5+q+t",,,1.6268400000000000e-01,"08B3c+05D5a+08C1c"
1330,20516,"10/02/13 00:00:00","v","08B3-3+39A-2+05D5-1","5","e1+o3+q+v1",,,8.2704899999999992e-01,"08B3c+39A-f+05D5a"
1336,20522,"10/02/13 00:00:00","v","36A2-2+08B3-3+40A-5","21","e1",,,2.4094699999999997e-01,"36A2+08B3c+40A-a"
1337,20523,"10/02/13 00:00:00","v","08C1-3+39A-2+08C-8","4","e4+t",,,5.7557999999999991e-02,"08C1c+39A-f+08C-c"
1338,21001,"09/12/13 00:00:00","v","32-4+12B-2","19","e1+r4",,,4.4975799999999999e-01,"32-e+12B-j"
1339,21003,"09/12/13 00:00:00","v","32-9+08C2-1","19","e1",,,7.5489000000000001e-02,"32-c+08C2c"
1340,21004,"09/12/13 00:00:00","v","08C2-1+32-9+32-4","6","e1+nt+q+r4",,,2.0894799999999999e-01,"08C2c+32-c+32-e"
1342,21006,"09/12/13 00:00:00","v","08-5+39A-2+08C2-1","7","e1+m+nt+q",,,2.1618800000000002e-01,"08-f+39A-f+08C2c"
1343,22001,"09/21/13 00:00:00","v","09-13+01-1+08C-11","7","e1",,,1.6420000000000001e-01,"09-g+01-b+08C-c"
1345,22003,"09/21/13 00:00:00","v","50A-1+05D-1","1","e1+t",,,2.7106400000000003e-01,"50A+05D-a"
1346,22004,"09/21/13 00:00:00","v","50A-1+05D-1","1","e1",,,1.7134099999999999e-01,"50A+05D-a"
