Locatie,SoortCode,Bedekking,Aantalsklasse,Bedekking_num
1399,427,"lf","5",3
1400,420,"lf","4",3
1400,346,"o","3",3
1400,427,"o","3",3
1402,420,"o","3",3
1402,688,"lf","5",3
1402,346,"o","3",3
1402,427,"lf","5",3
1403,420,"o","3",3
1403,688,"la","5",9
1403,427,"f","5",8
1404,420,"f","4",8
1404,688,"o","3",3
1404,427,"lf","4",3
1405,420,"o","3",3
1405,688,"la","4",9
1405,1099,"o","3",3
1405,427,"lf","5",3
1406,420,"lo","3",1
1406,688,"la","5",9
1406,427,"lf","5",3
1407,420,"r","3",1
1407,688,"f","5",8
1407,427,"f","5",8
1409,688,"lf","4",3
1409,427,"lf","4",3
1410,420,"o","3",3
1410,688,"la","5",9
1410,346,"o","4",3
1410,427,"f","5",8
1411,688,"o","3",3
1411,427,"lf","4",3
1412,427,"lf","4",3
1413,427,"lf","3",3
1414,427,"o","3",3
1415,427,"f","5",8
1416,1099,"o","3",3
1416,427,"o","3",3
1417,212,"r","2",1
1417,427,"o","3",3
1418,212,"o","3",3
1418,420,"o","3",3
1418,427,"a","5",15
1419,420,"o","3",3
1419,427,"a","5",15
1420,212,"la","5",9
1421,1255,"f","4",8
1421,427,"lf","4",3
1421,178,"lf","4",3
1422,212,"o","3",3
1422,427,"o","3",3
1422,670,"o","3",3
1423,420,"f","4",8
1423,427,"f","4",8
1424,427,"o","4",3
1424,1099,"s","1",1
1426,420,"lf","3",3
1426,427,"f","4",8
1427,427,"o","3",3
1428,212,"la","5",9
1429,420,"o","3",3
1429,427,"f","5",8
1430,420,"o","3",3
1432,212,"ld","5",22
1433,212,"r","2",1
1433,420,"o","3",3
1433,427,"f","5",8
1434,420,"r","2",1
1434,688,"a","5",15
1434,427,"o","3",3
1435,420,"o","3",3
1435,427,"o","3",3
1437,420,"o","4",3
1437,688,"r","3",1
1438,420,"f","5",8
1440,420,"f","5",8
1441,420,"f","5",8
1442,420,"f","4",8
1444,1275,"lf","4",3
1445,420,"f","5",8
1445,688,"o","4",3
1445,427,"r","3",1
1449,420,"o","3",3
1449,688,"r","3",1
1450,420,"s","2",1
1451,427,"f","5",8
1453,427,"o","3",3
1454,688,"o","3",3
1454,1255,"f","4",8
1455,688,"o","3",3
1456,427,"o","3",3
1458,688,"o","3",3
1458,1255,"lf","4",3
1458,463,"s","3",1
1459,427,"o","3",3
1459,178,"r","4",1
1461,688,"r","5",1
1461,427,"d","5",60
1463,212,"r","3",1
1463,418,"o","3",3
1463,420,"f","5",8
1463,688,"o","4",3
1463,427,"f","5",8
1465,212,"o","3",3
1465,418,"o","4",3
1465,420,"f","5",8
1465,456,"o","3",3
1465,688,"f","4",8
1465,427,"o","4",3
1466,427,"o","2",3
1467,212,"o","2",3
1467,420,"o","3",3
1467,427,"r","2",1
1468,418,"r","2",1
1468,420,"f","5",8
1469,212,"o","3",3
1469,420,"o","2",3
1469,688,"lf","5",3
1469,427,"o","3",3
1470,418,"r","2",1
1470,420,"f","5",8
1471,420,"f","5",8
1471,456,"r","2",1
1471,688,"r","2",1
1473,420,"s","1",1
1473,688,"f","5",8
1474,212,"r","2",1
1474,420,"o","3",3
1474,427,"f","5",8
1476,688,"o","3",3
1476,1275,"o","4",3
1476,427,"f","5",8
1477,420,"o","3",3
1477,427,"f","5",8
1553,1099,"o","2",3
